I
1150 Version - data cycle 1911, build 20250921, metadata MSAXP1150. FMS
10  RW17 K4  1F0 M 180 000  0 036 000  0
10  RW35 K4  1F0 M 180 000  0 036 000  0
10  RW10 K5  1G0 M 180 000  0 031 000  0
10  RW18 K5  1G0 M 180 000  0 031 000  0
10  RW28 K5  1G0 M 180 000  0 031 000  0
10  RW36 K5  1G0 M 180 000  0 031 000  0
 3   VWV K5  1G0 M 180 000  0 031 000  0
 3   DJB K5  1G1 M 180 000  0 031 000  0
 3   ACO K5  1G3 M 270 000  0 036 000  0 242 000  0 322 000  0
10  RW01 K5  1G3 M 180 000  0 031 000  0
10  RW19 K5  1G3 M 180 000  0 031 000  0
 3   ACO K5  1G5 M 240 000  0 036 000  0 302 000  0 312 000  0
10  RW09 K5  1G5 M 180 000  0 031 000  0
10  RW27 K5  1G5 M 180 000  0 031 000  0
 3   BIB K5  1H2 M 180 000  0 025 000  0
10  RW01 K5  1H2 M 180 000  0 025 000  0
10  RW11 K5  1H2 M 180 000  0 025 000  0
10  RW29 K5  1H2 M 180 000  0 025 000  0
10  RW04 K5  1H8 M 180 000  0 026 000  0
10  RW22 K5  1H8 M 180 000  0 026 000  0
10  RW19 K7  1J0 M 180 000  0 031 000  0
10  RW17 K3  1K1 M 180 000  0 036 000  0
 3   IRW K4  1K4 M 060 000  0 038 000  0 040 000  0 312 000  0
10  RW25 K6  1N7 M 180 000  0 036 000  0
 3   STW K6  1N7 M 045 000  0 035 000  0 253 000  0 312 000  0 144 000  0
11 MUFEL K2  1O2 M 180 000  0 083 000  0
 3   LIN K2  1O3 M 080 000  0 031 000  0 343 000  0 122 000  0 148 000  0
11 MAPYN K2  1O3 M 180 000  0 042 000  0
 3   MCB K7  1R7 M 180 000  0 026 000  0
10  RW08 K7  1R8 M 180 000  0 031 000  0
10  RW26 K7  1R8 M 180 000  0 031 000  0
10  RW27 K1  1S3 M 180 000  0 061 000  0
11 GLUTS K1  1U7 M 180 000  0 112 000  0
10  RW28 K1  1U7 M 180 000  0 112 000  0
10  RW29 K2  1V6 M 180 000  0 153 000  0
 3   MMB K4  1X1 M 180 000  0 045 000  0
10  RW06 K7  20A M 180 000  0 031 000  0
10  RW24 K7  20A M 180 000  0 031 000  0
11 NEWMN K6  20N M 180 000  0 054 000  0
10  RW33 K6  20N M 180 000  0 054 000  0
11 CUKOM K2  20V M 180 000  0 146 000  0
 3   RLG K2  20V M 230 000  0 146 000  0 242 000  0 352 000  0
10  RW27 K2  20V M 180 000  0 148 000  0
 2   PPI K3  21D M 180 000  0 035 000  0
10  RW32 K3  21D M 180 000  0 035 000  0
10  RW08 K6  22N M 180 000  0 040 000  0
10  RW26 K6  22N M 180 000  0 040 000  0
11 KAKEC K7  24A M 180 000  0 079 000  0
 3   HLI K7  25M M 180 000  0 025 000  0
10  RW06 K6  26N M 180 000  0 021 000  0
 3   HYK K5  27K M 180 000  0 031 000  0
 3   EWC K6  29D M 090 000  0 036 000  0 080 000  0 312 000  0
 3   VCN K6  29N M 180 000  0 021 000  0
 3   LVT K7  2A1 M 090 000  0 033 000  0 240 000  0 032 000  0
10  RW05 K4  2A2 M 180 000  0 036 000  0
10  RW23 K4  2A2 M 180 000  0 036 000  0
 3   LIB K7  2A5 M 180 000  0 031 000  0 241 000  0 012 000  0
10  RW36 K6  2B3 M 180 000  0 046 000  0
 2   BUP K6  2B7 M 135 000  0 031 000  0 151 000  0 252 000  0
10  RW18 K6  2B7 M 180 000  0 033 000  0
10  RW36 K6  2B7 M 180 000  0 033 000  0
10  RW34 K3  2C8 M 180 000  0 033 000  0
10  RW30 K3  2D5 M 180 000  0 035 000  0
10  RW18 K4  2F7 M 180 000  0 024 000  0
10  RW36 K4  2F7 M 180 000  0 024 000  0
 3   SLR K4  2F7 M 180 000  0 026 000  0
10  RW14 K5  2G2 M 180 000  0 031 000  0
10  RW32 K5  2G2 M 180 000  0 031 000  0
 3   MGW K6  2G4 M 090 000  0 036 000  0 083 000  0 142 000  0 009 000  0
 2   SYS K6  2G9 M 180 000  0 045 000  0
10  RW36 K5  2H0 M 180 000  0 024 000  0
10  RW18 K3  2H2 M 180 000  0 030 000  0
10  RW36 K3  2H2 M 180 000  0 030 000  0
 3   SGF K3  2H2 M 020 000  0 029 000  0 000 000  0 103 000  0
 3   CCT K5  2I0 M 180 000  0 026 000  0
