STAR:050,6,ENDEE4,RW22L,WADLL,K5,P,C,EE  , ,   ,FM, ,VIO,K5,D, ,      ,2418,1132,0950,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,6,ENDEE4,RW31C,STKNY,K5,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,06000,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,6,ENDEE4,RW31C,KEMPZ,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,6,ENDEE4,RW31C,GAGGA,K5,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,6,ENDEE4,RW31C,GAGGA,K5,P,C,EE  , ,   ,FM, ,VIO,K5,D, ,      ,2380,1231,0900,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,FISSK4,OKK,OKK,K5,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,FISSK4,OKK,TROLY,K5,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,FISSK4,OKK,GOTNE,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL180,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,FISSK4,OKK,FISSK,K5,P,C,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,FISSK4, ,FISSK,K5,P,C,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,5,FISSK4, ,VEECK,K5,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,FISSK4, ,OZZEY,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,5,FISSK4, ,AZUMO,K5,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,5,FISSK4, ,HALIE,K5,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,6,FISSK4,RW04R,HALIE,K5,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,6,FISSK4,RW04R,OLCYK,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,6,FISSK4,RW04R,TINLY,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
