SID:020,4,OLTAS1,RW29, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,2860,    ,+,00600,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,OLTAS1,RW29,BELUN,YB,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,OLTAS1,RW29,OLTAS,YB,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,RUPEG2,RW11,LAPAR,YB,P,C,E   , ,010,CF, ,DN,YB,D, ,      ,1058,0085,1060,0110,+,04000,     ,10000, ,   ,    ,   ,DN,YB,D, , , , , ;
SID:020,4,RUPEG2,RW11,SNICK,YB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,RUPEG2,RW11,RUPEG,YB,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,RUPEG2,RW29,NASUX,YB,E,A,E   , ,010,CF, ,DN,YB,D, ,      ,2859,0120,2860,0090,+,04000,     ,10000, ,   ,    ,   ,DN,YB,D, , , , , ;
SID:020,4,RUPEG2,RW29,UBGUX,YB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,RUPEG2,RW29,LEMUX,YB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,FL120,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,RUPEG2,RW29,BAXIB,YB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL140,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,RUPEG2,RW29,AKNUD,YB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL180,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,4,RUPEG2,RW29,SNICK,YB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,4,RUPEG2,RW29,RUPEG,YB,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,RUSKA6,RW11,DN,YB,D, ,VY  , ,010,CF, ,DN,YB,D, ,      ,0000,0000,1060,0010, ,     ,     ,10000, ,   ,    ,   ,DN,YB,D, , , , , ;
SID:020,4,RUSKA6,RW11, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,1060,    ,+,00900,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,RUSKA6,RW11,ONALI,YB,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,RUSKA6,RW11,PAGSO,YB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,03000,     ,     , ,   ,    ,   , , , , , , , , ;
