SID:060,5,DOBU1J,RW12,DOBUT,FM,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,DOBU1M,RW32,PABRU,FM,E,A,E   , ,   ,CF, ,SDG,FM,D, ,      ,3147,0072,3160,0070, ,     ,     ,12000, ,   ,    ,   , , , , , , , , ;
SID:020,5,DOBU1M,RW32,LIBLI,FM,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,DOBU1M,RW32,DOBUT,FM,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,DOBU1N,RW14, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1360,    ,+,00800,     ,12000, ,   ,    ,   , , , , , , , , ;
SID:020,5,DOBU1N,RW14,LAKAZ,FM,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,DOBU1N,RW14,ODAVI,FM,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,DOBU1N,RW14,VEKAS,FM,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,DOBU1N,RW14,BAPAD,FM,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,DOBU1N,RW14,DOBUT,FM,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,DOBU1P,RW30, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3010,    ,+,00470,     ,12000, ,   ,    ,   , , , , , , , , ;
SID:020,5,DOBU1P,RW30,PABRU,FM,E,A,E   , ,   ,CF, ,SDG,FM,D, ,      ,3147,0072,3160,0070, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,DOBU1P,RW30,LIBLI,FM,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,DOBU1P,RW30,DOBUT,FM,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,DOBU4A,RW14, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1350,    ,+,00470,     ,12000, ,   ,    ,   ,SDG,FM,D, ,B, , , ;
SID:020,2,DOBU4A,RW14, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1200,    ,+,00800,     ,     ,-,205,    ,   , , , , , , , , ;
SID:030,2,DOBU4A,RW14, , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,3250,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,DOBU4A,RW14,D010X,FM,P,C,EY  , ,   ,CF, ,SDG,FM,D, ,      ,0100,0240,0100,0200, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,DOBU4A,RW14, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,3100,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
