SID:040,5,DYN82D, ,UPDAD,ZS,E,A,E C ,R,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL197,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,DYN82D, ,DYN,ZS,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,DYN91D,RW34,DER34,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,JDG,ZS,D, , , , , ;
SID:020,4,DYN91D,RW34,JD614,ZS,P,C,E   , ,   ,CF, ,WFG,ZS,D, ,      ,0791,0399,3500,0290, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,DYN91D,RW34,GUTVO,ZS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,09850,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,DYN91D,RW35,DER35,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,JDG,ZS,D, , , , , ;
SID:020,4,DYN91D,RW35, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3500,    ,+,00500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,DYN91D,RW35,JD601,ZS,P,C,E   , ,   ,CF, ,JDG,ZS,D, ,      ,3341,0078,3350,0080, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,DYN91D,RW35,JD602,ZS,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04930,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,DYN91D,RW35,GUTVO,ZS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,09850,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,DYN91D, ,GUTVO,ZS,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,09850,     ,     , ,   ,    ,   ,JDG,ZS,D, , , , , ;
SID:020,5,DYN91D, ,UPDAD,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL197,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,DYN91D, ,DYN,ZS,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,LAT01D,RW34,DER34,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,JDG,ZS,D, , , , , ;
SID:015,2,LAT01D,RW34, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3500,    ,+,01320,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,LAT01D,RW34,JDE,ZS,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02960,     ,     ,-,205,    ,   , , , , , , , , ;
SID:030,2,LAT01D,RW34,LAROP,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,LAT01D,RW34,LATUX,ZS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,LAT11D,RW16,DER16,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,JDG,ZS,D, , , , , ;
SID:020,1,LAT11D,RW16, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1700,    ,+,00990,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,LAT11D,RW16,JDE,ZS,D, ,VE  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,205,    ,   , , , , , , , , ;
SID:010,1,LAT11D,RW17,DER17,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,JDG,ZS,D, , , , , ;
SID:020,1,LAT11D,RW17, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1700,    ,+,00990,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,LAT11D,RW17,JDE,ZS,D, ,VE  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,205,    ,   , , , , , , , , ;
SID:010,2,LAT11D, ,JDE,ZS,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,205,    ,   ,JDG,ZS,D, , , , , ;
SID:020,2,LAT11D, ,LAROP,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,LAT11D, ,LATUX,ZS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,LAT81D,RW16,DER16,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,JDG,ZS,D, , , , , ;
SID:020,4,LAT81D,RW16, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1700,    ,+,00500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,LAT81D,RW16,JD511,ZS,P,C,E   , ,   ,CF, ,WFG,ZS,D, ,      ,1208,0557,1550,0060, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
